Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,2030 Logistic,2030 Linear,Logistic evaluation R2,Logistic evaluation PBIAS,Logistic evaluation NRMSE,Linear evaluation R2,Linear evaluation PBIAS,Linear evaluation NRMSE,5-Fold validation mean R2,5-Fold validation mean PBIAS,5-Fold validation mean NRMSE
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),548,Vanuatu,404791.8586383485,188792.07142857462,0.9899714565511987,-9.066573231223087,0.10014261554803398,0.3292165022534801,5.488052885182549e-12,0.8190137347728181,-30975690.188472133,38178.21834165003,2490.6465397219063
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),554,New Zealand,4005.614060202444,-112151.14748800173,0.40896184639185484,5.861068874095351,0.7687900582136485,0.19307057348210865,-6.570874586711979e-12,0.8982925061013765,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),558,Nicaragua,461.420809618034,-7925.547513721976,0.03797504455882772,1.8299922662380612,0.9808287085119257,0.03220400658933764,1.0656148426040987e-12,0.9837662290456317,-123.22607669327891,401.8838809342923,8.514076693440627
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),562,Niger,4187365.9723842572,7085119.857142925,0.354571990761705,-5.751170307076705,0.803385342932204,0.3022539034521905,4.094901966588284e-12,0.8353119755802675,-0.14038444636919772,-57.972173014625106,0.9604895578589703
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),578,Norway,20998.0,,,,,,,,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),583,Micronesia (Federated States of),31916.77985697543,352326.0,1.0,2.3852849190966043e-07,2.708587191508662e-09,1.0,0.0,0.0,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),584,Marshall Islands,180892.03272987608,79989.54999999888,0.8468742661024125,-0.6312982049761394,0.3913128338012792,0.6034122684762615,-3.654567115640048e-12,0.629752119110161,-0.6688673940157903,-89.04496004252815,1.29184650559414
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),585,Palau,1324.62493,,,,,,,,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),586,Pakistan,591751.9203034501,-922615.825509131,0.03761152973721049,2.938136488752218,0.9810140010533944,0.0459569084816801,-1.475598154788225e-12,0.976751294607957,-48.51217068198423,331.11123195578256,5.783190848031261
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),591,Panama,4089.004703338928,-15734.430628823582,0.11224309497559737,15.372773303940788,0.9422085252344103,0.1130525736590321,4.098709273611658e-13,0.9417788627597073,-7.719781393987813,69.87219694133071,2.34472696555627
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),598,Papua New Guinea,1.0000000000000002,-12728.285714285448,0.2632912478558521,17.161055320159644,0.858317395923063,0.07824522823088043,9.580719432716221e-13,0.9600806069123153,-276255.4845529104,5598.504849965906,337.20185122679544
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),600,Paraguay,118221.33732837062,181216.90000000037,-0.005961920062604875,3.1400407738400937,1.00297653016539,0.00684966719649327,1.5309185693397607e-13,0.9965692814869956,-9.742566101002637,161.08446031733828,3.11592779132841
